pH,Temperature,Red,Green,Blue,Liquid_Level,Max_Level,is_neutral_ph,is_optimal_temp,color_intensity,level_ratio,Valve_Status
6.19,22.51,151,190,108,50.31,100,0,0,149.67,0.5,0
8.78,70.91,115,252,223,85.65,100,0,1,196.67,0.86,0
7.79,45.15,74,212,115,65.87,100,0,0,133.67,0.66,0
7.19,60.69,112,159,93,16.29,100,1,1,121.33,0.16,1
5.2,92.61,199,214,46,7.06,100,0,0,153.0,0.07,0
5.2,39.94,163,160,98,64.24,100,0,0,140.33,0.64,0
4.76,52.83,165,255,54,2.65,100,0,0,158.0,0.03,0
8.4,80.44,103,66,167,58.58,100,0,0,112.0,0.59,0
7.21,38.3,83,127,51,94.02,100,1,0,87.0,0.94,0
7.69,26.16,253,17,143,57.55,100,0,0,137.67,0.58,0
4.59,43.18,226,24,12,38.82,100,0,0,87.33,0.39,0
8.86,32.9,111,233,113,64.33,100,0,0,152.33,0.64,0
8.25,94.38,253,222,123,45.83,100,0,0,199.33,0.46,0
5.46,84.65,216,53,105,54.56,100,0,0,124.67,0.55,0
5.32,70.67,98,57,157,94.15,100,0,1,104.0,0.94,0
5.33,89.72,152,66,146,38.61,100,0,0,121.33,0.39,0
5.87,84.29,92,103,144,96.12,100,0,0,113.0,0.96,0
6.86,34.93,145,173,119,90.54,100,1,0,145.67,0.91,0
6.44,91.4,127,23,62,19.58,100,0,0,70.67,0.2,0
5.81,63.15,109,113,18,6.94,100,0,1,80.0,0.07,0
7.25,84.6,81,31,91,10.08,100,1,0,67.67,0.1,0
5.13,91.69,193,174,57,1.82,100,0,0,141.33,0.02,0
5.81,45.44,53,85,182,9.44,100,0,0,106.67,0.09,0
6.15,28.8,162,150,89,68.3,100,0,0,133.67,0.68,0
6.55,38.23,207,193,228,7.12,100,1,0,209.33,0.07,0
8.03,54.17,188,126,217,31.9,100,0,0,177.0,0.32,0
5.4,85.44,168,154,116,84.49,100,0,0,146.0,0.84,0
6.81,88.86,227,233,61,2.33,100,1,0,173.67,0.02,0
7.17,20.56,160,129,22,81.45,100,1,0,103.67,0.81,0
4.71,60.86,67,217,126,28.19,100,0,1,136.67,0.28,0
7.23,53.39,32,16,136,11.82,100,1,0,61.33,0.12,0
5.27,37.77,141,103,139,69.67,100,0,0,127.67,0.7,0
4.79,29.59,20,160,244,62.89,100,0,0,141.33,0.63,0
8.77,47.01,47,136,128,87.75,100,0,0,103.67,0.88,0
8.85,95.43,147,42,57,73.51,100,0,0,82.0,0.74,0
8.14,45.86,247,245,121,80.35,100,0,0,204.33,0.8,0
5.87,61.5,127,175,0,28.2,100,0,1,100.67,0.28,0
4.94,76.24,135,38,238,17.74,100,0,1,137.0,0.18,0
7.58,49.09,134,220,33,75.06,100,0,0,129.0,0.75,0
6.48,97.74,194,169,95,80.68,100,0,0,152.67,0.81,0
5.05,97.0,144,246,125,99.05,100,0,0,171.67,0.99,0
6.73,40.14,127,25,117,41.26,100,1,0,89.67,0.41,0
4.65,59.78,32,98,47,37.2,100,0,0,59.0,0.37,0
8.59,44.07,175,49,88,77.64,100,0,0,104.0,0.78,0
5.66,42.79,203,152,231,34.08,100,0,0,195.33,0.34,0
7.48,22.95,186,151,236,93.08,100,1,0,191.0,0.93,0
5.9,68.77,114,12,116,85.84,100,0,1,80.67,0.86,0
6.84,60.21,213,59,128,42.9,100,1,1,133.33,0.43,1
6.96,24.12,118,249,15,75.09,100,1,0,127.33,0.75,0
5.33,42.29,21,134,188,75.45,100,0,0,114.33,0.75,0
8.86,92.66,237,56,230,10.31,100,0,0,174.33,0.1,0
7.99,39.16,157,35,191,90.26,100,0,0,127.67,0.9,0
8.73,31.59,37,172,190,50.53,100,0,0,133.0,0.51,0
8.53,59.16,229,19,68,82.65,100,0,0,105.33,0.83,0
7.19,98.85,108,64,21,32.0,100,1,0,64.33,0.32,0
8.65,39.36,50,7,92,89.55,100,0,0,49.67,0.9,0
4.9,73.77,181,255,246,38.92,100,0,1,227.33,0.39,0
5.38,80.93,7,237,194,1.08,100,0,0,146.0,0.01,0
4.7,39.01,26,143,75,90.54,100,0,0,81.33,0.91,0
5.96,78.26,26,141,153,9.13,100,0,1,106.67,0.09,0
6.25,49.42,225,203,143,31.93,100,0,0,190.33,0.32,0
5.72,70.58,20,114,178,95.01,100,0,1,104.0,0.95,0
8.23,70.68,29,214,228,95.06,100,0,1,157.0,0.95,0
6.11,62.86,96,142,85,57.34,100,0,1,107.67,0.57,0
5.76,27.22,27,91,184,63.18,100,0,0,100.67,0.63,0
6.94,86.82,110,97,28,44.84,100,1,0,78.33,0.45,0
5.13,45.66,191,65,205,29.32,100,0,0,153.67,0.29,0
8.11,34.92,224,31,219,32.87,100,0,0,158.0,0.33,0
4.84,23.26,196,214,68,67.25,100,0,0,159.33,0.67,0
8.94,67.27,251,190,46,75.24,100,0,1,162.33,0.75,0
7.98,74.21,60,85,240,79.16,100,0,1,128.33,0.79,0
5.39,21.33,47,50,93,78.96,100,0,0,63.33,0.79,0
4.52,60.97,146,152,237,9.12,100,0,1,178.33,0.09,0
8.17,38.12,3,185,189,49.44,100,0,0,125.67,0.49,0
7.68,71.61,34,62,243,5.76,100,0,1,113.0,0.06,0
7.78,33.95,191,189,196,54.95,100,0,0,192.0,0.55,0
7.97,75.28,48,124,203,44.15,100,0,1,125.0,0.44,0
4.83,50.94,255,149,143,88.77,100,0,0,182.33,0.89,0
6.11,94.94,16,57,217,35.09,100,0,0,96.67,0.35,0
5.02,31.0,171,57,217,11.71,100,0,0,148.33,0.12,0
8.38,47.29,219,85,175,14.3,100,0,0,159.67,0.14,0
7.3,29.08,157,48,84,76.15,100,1,0,96.33,0.76,0
5.99,93.98,220,179,38,61.82,100,0,0,145.67,0.62,0
4.79,90.19,45,169,99,10.11,100,0,0,104.33,0.1,0
5.9,40.64,116,69,32,8.41,100,0,0,72.33,0.08,0
5.96,72.8,5,14,253,70.1,100,0,1,90.67,0.7,0
7.78,85.38,98,53,221,7.28,100,0,0,124.0,0.07,0
7.37,64.42,123,234,100,82.19,100,1,1,152.33,0.82,1
8.49,62.37,232,187,22,70.62,100,0,1,147.0,0.71,0
6.62,39.35,36,100,249,8.13,100,1,0,128.33,0.08,0
5.04,27.45,23,224,9,8.48,100,0,0,85.33,0.08,0
7.71,91.78,92,7,245,98.66,100,0,0,114.67,0.99,0
7.92,92.03,240,52,68,37.43,100,0,0,120.0,0.37,0
7.03,70.65,45,59,99,37.06,100,1,1,67.67,0.37,1
7.97,47.12,180,235,33,81.28,100,0,0,149.33,0.81,0
6.72,47.94,94,107,179,94.72,100,1,0,126.67,0.95,0
6.85,78.08,98,4,222,98.6,100,1,1,108.0,0.99,0
6.42,91.77,187,102,137,75.34,100,0,0,142.0,0.75,0
4.61,90.97,224,195,249,37.63,100,0,0,222.67,0.38,0
4.99,82.39,115,5,146,8.35,100,0,0,88.67,0.08,0
